Latitude,Longitude,Name,Note
36.1696141300512,-86.7118139245258,168,
36.1696177715968,-86.7116650641729,169,
36.1697124517219,-86.7114981601409,170,
36.1701749260736,-86.7133656809316,171,
36.1702222658139,-86.7134378556481,172,
36.1706556051846,-86.7137536200331,173,
36.1712637328657,-86.7140152533805,174,
36.170746642563,-86.7115477802586,175,
36.1728659628782,-86.7101584168945,176,
36.1731609152809,-86.7088141627988,177,
36.1733211358737,-86.7085976386491,178,
36.1739110361817,-86.70793453339,179,
36.1739219602189,-86.7079435552296,180,
36.1745009320094,-86.7072263189839,181,
36.1756523072307,-86.7056725834716,182,
36.1756923611361,-86.7055778541561,183,
36.1757761101448,-86.7056229633539,184,
36.1765516945382,-86.7048831725093,185,
36.1766135953092,-86.7048515960708,186,
36.1769922813141,-86.7044952334079,187,
36.1776841068377,-86.7040666959841,188,
36.1781210460955,-86.7037283770003,189,
36.1806175896864,-86.7016499154255,190,
36.1814152314845,-86.7009323877187,191,
36.1818958416515,-86.7003143916955,192,
36.1819832250001,-86.700323413535,193,
36.1819941479118,-86.7001610204228,194,
36.1823473212367,-86.6995655790113,195,
36.1832211453174,-86.7001384658019,196,
36.1835561086239,-86.7004903175451,197,
36.1830791495703,-86.6987491025084,198,
36.1829517172705,-86.6987310588293,199,
36.184480891186,-86.6989295392998,200,
36.1830682268099,-86.6984062726048,201,
36.183363140807,-86.6982889886904,202,
36.1837308715195,-86.6980138225836,203,
36.1840112195169,-86.697377782894,204,
36.1843097708627,-86.6969357126717,205,
36.1846884196673,-86.6966470138055,206,
36.184728468953,-86.6964530442548,207,
36.186279452848,-86.694860689519,208,
36.1865343064129,-86.6946847636474,209,
36.1868801777816,-86.6940171475193,210,
36.1929064324615,-86.6914806375608,211,
36.1941729267105,-86.6919909898758,212,
36.195151099305,-86.6926097920578,213,
36.198624896125,-86.6951573092684,214,
36.1986969683192,-86.6954635206574,215,
36.1964422220162,-86.6980523722977,216,
36.1986500161217,-86.7012173788602,217,
36.1950828824982,-86.6955096381744,218,
36.1904236522741,-86.6968554875456,219,
36.1899087950343,-86.6975380837669,220,
36.1873719550108,-86.7006144698343,221,
36.1977743174542,-86.7030222481678,222,
36.1987007169958,-86.7011125153944,223,
